iter	Passed	Remaining
500	618	615
501	620	615
502	621	614
503	623	613
504	624	612
505	626	611
506	627	610
507	628	608
508	629	607
509	631	606
510	633	606
511	641	611
512	643	610
513	644	609
514	645	607
515	646	606
516	649	606
517	651	605
518	652	604
519	653	603
520	655	602
521	656	600
522	657	599
523	659	598
524	660	597
525	661	596
526	665	597
527	666	595
528	667	594
529	669	593
530	670	592
531	671	591
532	673	589
533	674	588
534	675	587
535	678	586
536	680	586
537	681	585
538	683	584
539	684	583
540	686	582
541	687	580
542	688	579
543	689	577
544	690	576
545	692	575
546	693	574
547	695	573
548	696	572
549	697	570
550	698	569
551	699	567
552	700	566
553	702	565
554	703	563
555	704	562
556	705	560
557	706	559
558	707	558
559	710	557
560	711	556
561	712	555
562	713	553
563	714	552
564	715	550
565	716	549
566	717	548
567	718	546
568	719	545
569	720	543
570	723	543
571	724	542
572	725	540
573	726	538
574	727	537
575	728	536
576	729	534
577	730	533
578	731	531
579	732	530
580	733	528
581	734	527
582	736	526
583	738	526
584	739	524
585	740	523
586	741	521
587	743	520
588	744	519
589	745	518
590	746	516
591	747	515
592	748	513
593	749	512
594	751	511
595	752	510
596	753	508
597	754	507
598	755	506
599	757	504
600	758	503
601	759	502
602	760	500
603	761	499
604	762	497
605	763	496
606	764	494
607	767	495
608	769	493
609	770	492
610	771	490
611	772	489
612	773	488
613	774	486
614	775	485
615	776	483
616	777	482
617	778	481
618	779	479
619	782	479
620	783	478
621	785	477
622	786	475
623	787	474
624	788	472
625	789	471
626	790	470
627	791	468
628	792	467
629	793	466
630	796	465
631	798	464
632	799	463
633	800	462
634	801	460
635	802	459
636	803	458
637	804	456
638	805	455
639	806	453
640	807	452
641	809	451
642	810	450
643	813	449
644	814	448
645	815	446
646	816	445
647	817	444
648	818	442
649	820	441
650	821	440
651	822	438
652	823	437
653	824	436
654	828	436
655	829	434
656	830	433
657	831	432
658	832	430
659	833	429
660	835	428
661	836	427
662	837	425
663	838	424
664	840	423
665	842	422
666	843	421
667	845	419
668	846	418
669	847	417
670	848	416
671	849	414
672	850	413
673	851	411
674	852	410
675	855	409
676	856	408
677	858	407
678	860	406
679	861	405
680	862	403
681	863	402
682	864	401
683	865	399
684	866	398
685	867	397
686	869	396
687	871	395
688	872	394
689	873	392
690	874	391
691	876	389
692	877	388
693	878	387
694	879	385
695	880	384
696	881	383
697	882	382
698	885	381
699	887	380
700	888	378
701	889	377
702	890	376
703	891	374
704	892	373
705	893	372
706	894	370
707	896	369
708	897	368
709	899	367
710	900	366
711	902	364
712	903	363
713	904	362
714	905	360
715	906	359
716	908	358
717	909	357
718	910	355
719	911	354
720	912	353
721	915	352
722	917	351
723	918	349
724	919	348
725	920	347
726	921	345
727	922	344
728	923	343
729	924	341
730	925	340
731	926	339
732	928	338
733	929	337
734	931	335
735	933	334
736	935	333
737	937	332
738	938	331
739	939	330
740	940	328
741	941	327
742	945	326
743	947	326
744	948	324
745	951	323
746	952	322
747	954	321
748	955	320
749	956	318
750	957	317
751	959	316
752	961	315
753	962	314
754	964	312
755	965	311
756	966	310
757	968	309
758	969	307
759	970	306
760	972	305
761	977	305
762	979	304
763	987	304
764	992	304
765	994	303
766	996	302
767	998	301
768	999	300
769	1000	298
770	1002	297
771	1004	296
772	1006	295
773	1008	294
774	1009	293
775	1011	291
776	1012	290
777	1013	289
778	1014	287
779	1015	286
780	1017	285
781	1021	284
782	1022	283
783	1024	282
784	1025	280
785	1026	279
786	1028	278
787	1029	276
788	1032	276
789	1037	275
790	1039	274
791	1040	273
792	1042	272
793	1044	270
794	1049	270
795	1051	269
796	1052	268
797	1054	266
798	1055	265
799	1056	264
800	1057	262
801	1058	261
802	1059	259
803	1060	258
804	1061	257
805	1063	255
806	1066	254
807	1067	253
808	1068	252
809	1069	250
810	1071	249
811	1072	248
812	1073	246
813	1074	245
814	1076	244
815	1077	243
816	1080	242
817	1082	240
818	1083	239
819	1085	238
820	1086	236
821	1087	235
822	1089	234
823	1090	232
824	1091	231
825	1092	230
826	1095	229
827	1097	227
828	1098	226
829	1099	225
830	1100	223
831	1101	222
832	1102	221
833	1104	219
834	1105	218
835	1107	217
836	1110	216
837	1112	214
838	1113	213
839	1114	212
840	1115	210
841	1116	209
842	1118	208
843	1120	207
844	1121	205
845	1123	204
846	1125	203
847	1126	201
848	1127	200
849	1129	199
850	1130	197
851	1131	196
852	1132	195
853	1133	193
854	1134	192
855	1135	191
856	1136	189
857	1138	188
858	1140	187
859	1141	185
860	1143	184
861	1144	183
862	1145	181
863	1146	180
864	1147	179
865	1148	177
866	1149	176
867	1150	174
868	1151	173
869	1153	172
870	1156	171
871	1157	169
872	1158	168
873	1160	167
874	1161	165
875	1162	164
876	1163	163
877	1164	161
878	1165	160
879	1166	159
880	1167	157
881	1169	156
882	1170	155
883	1171	153
884	1172	152
885	1173	151
886	1174	149
887	1175	148
888	1176	146
889	1177	145
890	1178	144
891	1179	142
892	1180	141
893	1181	140
894	1183	138
895	1185	137
896	1186	136
897	1187	134
898	1188	133
899	1189	132
900	1190	130
901	1190	129
902	1192	128
903	1193	126
904	1194	125
905	1195	124
906	1196	122
907	1199	121
908	1200	120
909	1201	118
910	1202	117
911	1203	116
912	1204	114
913	1205	113
914	1206	112
915	1208	110
916	1209	109
917	1210	108
918	1211	106
919	1214	105
920	1215	104
921	1216	102
922	1217	101
923	1218	100
924	1219	98
925	1220	97
926	1221	96
927	1222	94
928	1223	93
929	1224	92
930	1225	90
931	1226	89
932	1228	88
933	1229	86
934	1231	85
935	1232	84
936	1233	82
937	1234	81
938	1236	80
939	1237	78
940	1238	77
941	1239	76
942	1240	74
943	1242	73
944	1244	72
945	1245	71
946	1246	69
947	1247	68
948	1248	67
949	1250	65
950	1251	64
951	1252	63
952	1253	61
953	1254	60
954	1256	59
955	1258	57
956	1260	56
957	1261	55
958	1262	53
959	1263	52
960	1264	51
961	1266	50
962	1267	48
963	1269	47
964	1270	46
965	1272	44
966	1275	43
967	1276	42
968	1277	40
969	1279	39
970	1280	38
971	1282	36
972	1283	35
973	1284	34
974	1289	33
975	1290	31
976	1292	30
977	1294	29
978	1295	27
979	1297	26
980	1298	25
981	1300	23
982	1303	22
983	1305	21
984	1306	19
985	1307	18
986	1309	17
987	1311	15
988	1312	14
989	1320	13
990	1321	12
991	1323	10
992	1324	9
993	1326	8
994	1327	6
995	1328	5
996	1330	4
997	1332	2
998	1334	1
999	1335	0
